Ocupação;Quantitativo;Porcentagem;Data de carga
Técnico de Eletricidade, Eletrônica e Telecomunicações;657;0,0013;2023-03-13 15:28:45
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);3214;0,0065;2023-03-13 15:28:45
Técnico de Laboratório e Raios X;381;0,0008;2023-03-13 15:28:45
Técnico de Mecânica;183;0,0004;2023-03-13 15:28:45
Técnico de Mineração, Metalurgia e Geologia;50;0,0001;2023-03-13 15:28:45
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;278;0,0006;2023-03-13 15:28:45
Técnico de Química;64;0,0001;2023-03-13 15:28:45
Técnico em Agronomia e Agrimensura;633;0,0013;2023-03-13 15:28:45
Técnico em Edificações;123;0,0002;2023-03-13 15:28:45
Técnico em Informática;485;0,001;2023-03-13 15:28:45
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;4794;0,0096;2023-03-13 15:28:45
Vendedor de Comércio Varejista e Atacadista;4245;0,0085;2023-03-13 15:28:45
Vereador;24325;0,0489;2023-03-13 15:28:45
Veterinário;550;0,0011;2023-03-13 15:28:45
Vigilante;4366;0,0088;2023-03-13 15:28:45
Zootecnista;91;0,0002;2023-03-13 15:28:45
