Ocupação;Quantitativo;Porcentagem;Ano
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISAO;1;0,0001;2002
REPRESENTANTE COMERCIAL;121;0,0061;2002
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;184;0,0093;2002
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;74;0,0037;2002
SECURITARIO;12;0,0006;2002
SENADOR, DEPUTADO E VEREADOR;1159;0,0584;2002
SERRALHEIRO;13;0,0007;2002
SERVENTUARIO DE JUSTICA;42;0,0021;2002
SERVIDOR PUBLICO CIVIL APOSENTADO;172;0,0087;2002
SERVIDOR PUBLICO ESTADUAL;655;0,033;2002
SERVIDOR PUBLICO FEDERAL;417;0,021;2002
SERVIDOR PUBLICO MUNICIPAL;250;0,0126;2002
SOCIOLOGO;35;0,0018;2002
SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;16;0,0008;2002
TABELIAO;16;0,0008;2002
TAPECEIRO;1;0,0001;2002
TAXISTA E MOTORISTA PARTICULAR;34;0,0017;2002
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;108;0,0054;2002
TECNICO DE BIOLOGIA;1;0,0001;2002
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;79;0,004;2002
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);34;0,0017;2002
TECNICO DE LABORATORIO E RAIOS X;20;0,001;2002
TECNICO DE MECANICA;13;0,0007;2002
TECNICO DE MINERACAO, METALURGIA E GEOLOGIA;5;0,0003;2002
TECNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E TRABALHADOR ASSEMELHADO;14;0,0007;2002
TECNICO DE QUIMICA;6;0,0003;2002
TECNICO EM AGRONOMIA E AGRIMENSURA;24;0,0012;2002
TECNICO EM EDIFICACOES;8;0,0004;2002
TECNICO TEXTIL;1;0,0001;2002
TERAPEUTA;7;0,0004;2002
TORNEIRO MECANICO;4;0,0002;2002
TRABALHADOR DE ARTES GRAFICAS;13;0,0007;2002
TRABALHADOR DE CONSTRUCAO CIVIL;57;0,0029;2002
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;10;0,0005;2002
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;4;0,0002;2002
TRABALHADOR DE FABRICACAO DE PRODUTOS DE BORRACHA E PLASTICO;2;0,0001;2002
TRABALHADOR DE FABRICACAO DE ROUPAS;2;0,0001;2002
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;5;0,0003;2002
TRABALHADOR DE HOTELARIA;7;0,0004;2002
TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E TRABALHADOR ASSEMELHADO;2;0,0001;2002
TRABALHADOR DE USINAGEM DE METAIS;2;0,0001;2002
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;2;0,0001;2002
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUIMICO;2;0,0001;2002
TRABALHADOR FLORESTAL;3;0,0002;2002
TRABALHADOR METALURGICO E SIDERURGICO;27;0,0014;2002
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;98;0,0049;2002
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;100;0,005;2002
VETERINARIO;44;0,0022;2002
VIGILANTE;76;0,0038;2002
ZOOTECNISTA;7;0,0004;2002
Administrador;341;0,0177;2006
Advogado;1434;0,0744;2006
Agenciador de Propaganda;4;0,0002;2006
Agente Administrativo;66;0,0034;2006
Agente Postal;25;0,0013;2006
Agente de Saúde e Sanitarista;21;0,0011;2006
Agente de Viagem;12;0,0006;2006
Agricultor;181;0,0094;2006
Agrônomo;36;0,0019;2006
Alfaiate e Costureiro;7;0,0004;2006
Almoxarife;7;0,0004;2006
Analista de Sistemas;34;0,0018;2006
Aposentado (Exceto Servidor Público);355;0,0184;2006
Arquiteto;42;0,0022;2006
Arquivista e Museólogo;1;0,0001;2006
Artesão;22;0,0011;2006
Artista Plástico e Assemelhados;20;0,001;2006
Artista de Circo;5;0,0003;2006
Assistente Social;40;0,0021;2006
Astrólogo;1;0,0001;2006
Astrônomo;2;0,0001;2006
Atleta Profissional e Técnico em Desportos;17;0,0009;2006
Ator e Diretor de Espetáculos Públicos;23;0,0012;2006
Auxiliar de Escritório e Assemelhados;67;0,0035;2006
Auxiliar de Laboratório;2;0,0001;2006
Bacteriologista e Assemelhados;1;0,0001;2006
Bancário e Economiário;147;0,0076;2006
Bibliotecário;5;0,0003;2006
Biomédico;5;0,0003;2006
Biólogo;14;0,0007;2006
Bombeiro Civil;3;0,0002;2006
Bombeiro Militar;89;0,0046;2006
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;1;0,0001;2006
Cabeleireiro e Barbeiro;42;0,0022;2006
Cantor e Compositor;48;0,0025;2006
Capitalista de Ativos Financeiros;1;0,0001;2006
Carpinteiro, Marceneiro e Assemelhados;22;0,0011;2006
Catador de Recicláveis;2;0,0001;2006
Chaveiro;1;0,0001;2006
Cientista Político;12;0,0006;2006
Cobrador de Transporte Coletivo;10;0,0005;2006
Comerciante;1358;0,0705;2006
Comerciário;99;0,0051;2006
Comissário de Bordo;1;0,0001;2006
Comunicólogo;2;0,0001;2006
Contador;144;0,0075;2006
Coreógrafo e Bailarino;2;0,0001;2006
Corretor de Imóveis, Seguros, Títulos e Valores;159;0,0083;2006
Cortador, Polidor e Gravador de Pedras;1;0,0001;2006
Coveiro;1;0,0001;2006
Cozinheiro;10;0,0005;2006
Decorador;2;0,0001;2006
Deputado;988;0,0513;2006
Desenhista;14;0,0007;2006
Despachante;23;0,0012;2006
